name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,start_date,end_date
death bed (coffee for your head),death bed (coffee for your head),Powfu,2020-02-08,173333,90,0.726,0.731,0.726,0.431,0.0,0.696,-8.765,0.135,144.026,4,2020-10-02,2020-10-09
Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,182160,91,0.501,0.751,0.501,0.405,0.0,0.105,-5.679,0.0319,109.891,4,2020-10-02,2020-10-09
Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,2019-11-22,215106,86,0.459,0.604,0.459,0.575,0.0,0.0885,-4.858,0.0573,111.881,4,2020-10-02,2020-10-09
Midnight Sky,Midnight Sky,Miley Cyrus,2020-08-14,223279,89,0.705,0.00115,0.705,0.814,0.00312,0.203,-5.466,0.0346,110.0,4,2020-10-02,2020-10-09
Intro,SAVAGE MODE II,21 Savage,2020-10-02,70044,64,0.427,0.312,0.427,0.473,0.369,0.527,-11.104,0.15,80.972,3,2020-10-02,2020-10-09
Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),Jawsh 685,2020-06-11,171374,90,0.767,0.234,0.767,0.481,0.0,0.269,-8.52,0.0803,150.076,4,2020-10-02,2020-10-09
Daisy,Daisy,Ashnikko,2020-07-09,146523,90,0.834,0.235,0.834,0.663,0.0,0.372,-6.143,0.133,121.876,4,2020-10-02,2020-10-09
Electric Love,Dopamine,BØRNS,2015-10-16,218106,87,0.611,0.00543,0.611,0.797,0.00137,0.26,-7.627,0.0533,120.041,4,2020-10-02,2020-10-09
Hawái,PAPI JUANCHO,Maluma,2020-08-21,199112,89,0.783,0.185,0.783,0.727,2.46e-05,0.0626,-3.454,0.389,180.067,4,2020-10-02,2020-10-09
After Party,Heaven Or Hell,Don Toliver,2020-03-13,167915,86,0.629,0.00981,0.629,0.692,0.331,0.603,-8.045,0.0376,162.948,4,2020-10-02,2020-10-09
Pretty Savage,THE ALBUM,BLACKPINK,2020-10-02,199120,82,0.695,0.00657,0.695,0.583,8.75e-05,0.104,-6.575,0.0423,152.001,4,2020-10-02,2020-10-09
Hate The Other Side (with Marshmello & The Kid Laroi),Legends Never Die,Juice WRLD,2020-07-10,160212,85,0.701,0.291,0.701,0.65,0.0,0.112,-6.313,0.104,90.003,4,2020-10-02,2020-10-09
GREECE (feat. Drake),GREECE (feat. Drake),DJ Khaled,2020-07-16,218901,86,0.695,0.0743,0.695,0.343,1.04e-06,0.107,-10.798,0.0432,85.84,4,2020-10-02,2020-10-09
