name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,start_date,end_date
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,12/14/2018,158040,86,0.76,0.556,0.76,0.479,0,0.0703,-5.574,0.0466,89.911,4,5/10/2019,5/17/2019
Truth Hurts,Cuz I Love You (Deluxe),Lizzo,5/3/2019,173325,72,0.715,0.11,0.715,0.624,0,0.123,-3.046,0.114,158.087,4,5/10/2019,5/17/2019
ME! (feat. Brendon Urie of Panic! At The Disco),ME!,Taylor Swift,4/26/2019,193040,3,0.614,0.0291,0.614,0.839,0,0.112,-4.143,0.0702,182.123,4,5/10/2019,5/17/2019
Talk (feat. Disclosure),Free Spirit,Khalid,4/5/2019,197573,76,0.901,0.051,0.901,0.4,0,0.0599,-8.575,0.126,135.984,4,5/10/2019,5/17/2019
Suge,Baby On Baby,DaBaby,3/1/2019,163320,80,0.876,0.0608,0.876,0.662,0,0.127,-6.482,0.426,75.445,4,5/10/2019,5/17/2019
EARFQUAKE,IGOR,"Tyler, The Creator",5/17/2019,190066,82,0.554,0.23,0.554,0.498,5.98E-06,0.795,-8.866,0.0685,79.635,4,5/17/2019,5/24/2019
Old Town Road (feat. Billy Ray Cyrus) - Remix,Old Town Road,Lil Nas X,4/5/2019,157066,11,0.878,0.0533,0.878,0.619,0,0.113,-5.56,0.102,136.041,4,5/17/2019,5/24/2019
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,194087,89,0.701,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,135.128,4,5/17/2019,5/24/2019
I Don't Care (with Justin Bieber),I Don't Care (with Justin Bieber),Ed Sheeran,5/10/2019,219946,83,0.798,0.0912,0.798,0.675,0,0.0894,-5.041,0.0442,101.956,4,5/17/2019,5/24/2019
Truth Hurts,Cuz I Love You (Deluxe),Lizzo,5/3/2019,173325,72,0.715,0.11,0.715,0.624,0,0.123,-3.046,0.114,158.087,4,5/17/2019,5/24/2019
Suge,Baby On Baby,DaBaby,3/1/2019,163320,80,0.876,0.0608,0.876,0.662,0,0.127,-6.482,0.426,75.445,4,5/17/2019,5/24/2019
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,12/14/2018,158040,86,0.76,0.556,0.76,0.479,0,0.0703,-5.574,0.0466,89.911,4,5/17/2019,5/24/2019
I THINK,IGOR,"Tyler, The Creator",5/17/2019,212013,73,0.826,0.00881,0.826,0.579,0,0.129,-8.241,0.0801,121.075,4,5/17/2019,5/24/2019
If I Can't Have You,If I Can't Have You,Shawn Mendes,5/3/2019,190800,80,0.692,0.524,0.692,0.809,0,0.147,-4.198,0.0602,123.911,4,5/17/2019,5/24/2019
Nightmare,Nightmare,Halsey,5/17/2019,231998,73,0.611,0.0188,0.611,0.622,0,0.359,-5.075,0.0734,146.11,4,5/17/2019,5/24/2019
The London (feat. J. Cole & Travis Scott),The London (feat. J. Cole & Travis Scott),Young Thug,5/23/2019,200106,76,0.796,0.0247,0.796,0.586,0,0.132,-6.946,0.147,97.981,4,5/24/2019,5/31/2019
EARFQUAKE,IGOR,"Tyler, The Creator",5/17/2019,190066,82,0.554,0.23,0.554,0.498,5.98E-06,0.795,-8.866,0.0685,79.635,4,5/24/2019,5/31/2019
Old Town Road (feat. Billy Ray Cyrus) - Remix,Old Town Road,Lil Nas X,4/5/2019,157066,11,0.878,0.0533,0.878,0.619,0,0.113,-5.56,0.102,136.041,4,5/24/2019,5/31/2019
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,194087,89,0.701,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,135.128,4,5/24/2019,5/31/2019
I Don't Care (with Justin Bieber),I Don't Care (with Justin Bieber),Ed Sheeran,5/10/2019,219946,83,0.798,0.0912,0.798,0.675,0,0.0894,-5.041,0.0442,101.956,4,5/24/2019,5/31/2019
Truth Hurts,Cuz I Love You (Deluxe),Lizzo,5/3/2019,173325,72,0.715,0.11,0.715,0.624,0,0.123,-3.046,0.114,158.087,4,5/24/2019,5/31/2019
Suge,Baby On Baby,DaBaby,3/1/2019,163320,80,0.876,0.0608,0.876,0.662,0,0.127,-6.482,0.426,75.445,4,5/24/2019,5/31/2019
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,12/14/2018,158040,86,0.76,0.556,0.76,0.479,0,0.0703,-5.574,0.0466,89.911,4,5/24/2019,5/31/2019
