name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,start_date,end_date
7 rings,"thank u, next",Ariana Grande,2019-02-08,178626,87,0.778,0.592,0.778,0.317,0.0,0.0881,-10.732,0.334,140.048,4,2019-03-15,2019-03-22
Sucker,Sucker,Jonas Brothers,2019-03-01,181040,13,0.842,0.0427,0.842,0.734,0.0,0.106,-5.065,0.0588,137.958,4,2019-03-15,2019-03-22
Murder On My Mind,I AM YOU,YNW Melly,2018-08-03,268434,83,0.759,0.145,0.759,0.73,3.06e-06,0.11,-7.985,0.0516,115.007,4,2019-03-15,2019-03-22
Wow.,Wow.,Post Malone,2018-12-24,149520,18,0.833,0.163,0.833,0.539,2.1e-06,0.101,-7.399,0.178,99.947,4,2019-03-15,2019-03-22
Going Bad (feat. Drake),Championships,Meek Mill,2018-11-30,180522,82,0.889,0.259,0.889,0.496,0.0,0.252,-6.365,0.0905,86.003,4,2019-03-15,2019-03-22
Robbery,Death Race For Love,Juice WRLD,2019-03-08,240050,89,0.685,0.328,0.685,0.692,0.0,0.153,-5.122,0.0457,159.966,5,2019-03-15,2019-03-22
"break up with your girlfriend, i'm bored","thank u, next",Ariana Grande,2019-02-08,190440,80,0.726,0.0421,0.726,0.554,0.0,0.106,-5.29,0.0917,169.999,4,2019-03-15,2019-03-22
Swervin (feat. 6ix9ine),Hoodie SZN,A Boogie Wit da Hoodie,2018-12-21,189486,81,0.581,0.0153,0.581,0.662,0.0,0.111,-5.239,0.303,93.023,4,2019-03-15,2019-03-22
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2018-12-14,158040,86,0.76,0.556,0.76,0.479,0.0,0.0703,-5.574,0.0466,89.911,4,2019-03-22,2019-03-29
MIDDLE CHILD,MIDDLE CHILD,J. Cole,2019-01-23,213593,83,0.837,0.149,0.837,0.364,0.0,0.271,-11.713,0.276,123.984,4,2019-03-22,2019-03-29
Old Town Road,Old Town Road,Lil Nas X,2019-03-14,113013,8,0.908,0.0361,0.908,0.517,1.73e-06,0.0949,-6.063,0.129,136.019,4,2019-03-22,2019-03-29
7 rings,"thank u, next",Ariana Grande,2019-02-08,178626,87,0.778,0.592,0.778,0.317,0.0,0.0881,-10.732,0.334,140.048,4,2019-03-22,2019-03-29
Murder On My Mind,I AM YOU,YNW Melly,2018-08-03,268434,83,0.759,0.145,0.759,0.73,3.06e-06,0.11,-7.985,0.0516,115.007,4,2019-03-22,2019-03-29
Wow.,Wow.,Post Malone,2018-12-24,149520,18,0.833,0.163,0.833,0.539,2.1e-06,0.101,-7.399,0.178,99.947,4,2019-03-22,2019-03-29
Sucker,Sucker,Jonas Brothers,2019-03-01,181040,13,0.842,0.0427,0.842,0.734,0.0,0.106,-5.065,0.0588,137.958,4,2019-03-22,2019-03-29
Going Bad (feat. Drake),Championships,Meek Mill,2018-11-30,180522,82,0.889,0.259,0.889,0.496,0.0,0.252,-6.365,0.0905,86.003,4,2019-03-22,2019-03-29
Swervin (feat. 6ix9ine),Hoodie SZN,A Boogie Wit da Hoodie,2018-12-21,189486,81,0.581,0.0153,0.581,0.662,0.0,0.111,-5.239,0.303,93.023,4,2019-03-22,2019-03-29
"break up with your girlfriend, i'm bored","thank u, next",Ariana Grande,2019-02-08,190440,80,0.726,0.0421,0.726,0.554,0.0,0.106,-5.29,0.0917,169.999,4,2019-03-22,2019-03-29
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,194087,89,0.701,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,135.128,4,2019-03-29,2019-04-05
Old Town Road,Old Town Road,Lil Nas X,2019-03-14,113013,8,0.908,0.0361,0.908,0.517,1.73e-06,0.0949,-6.063,0.129,136.019,4,2019-03-29,2019-04-05
wish you were gay,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,221543,81,0.853,0.39,0.853,0.351,9.38e-06,0.752,-10.198,0.241,118.028,4,2019-03-29,2019-04-05
bury a friend,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,193143,81,0.905,0.74,0.905,0.389,0.162,0.106,-14.505,0.332,120.046,4,2019-03-29,2019-04-05
when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,196077,87,0.367,0.978,0.367,0.111,3.97e-05,0.0897,-14.084,0.0972,82.642,4,2019-03-29,2019-04-05
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2018-12-14,158040,86,0.76,0.556,0.76,0.479,0.0,0.0703,-5.574,0.0466,89.911,4,2019-03-29,2019-04-05
xanny,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,243725,78,0.521,0.751,0.521,0.125,0.00207,0.265,-17.832,0.239,111.554,4,2019-03-29,2019-04-05
all the good girls go to hell,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,168839,80,0.726,0.283,0.726,0.444,0.143,0.177,-8.922,0.372,185.044,4,2019-03-29,2019-04-05
MIDDLE CHILD,MIDDLE CHILD,J. Cole,2019-01-23,213593,83,0.837,0.149,0.837,0.364,0.0,0.271,-11.713,0.276,123.984,4,2019-03-29,2019-04-05
my strange addiction,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,179889,78,0.939,0.35,0.939,0.305,0.000169,0.105,-10.952,0.354,100.029,4,2019-03-29,2019-04-05
Old Town Road (feat. Billy Ray Cyrus) - Remix,Old Town Road,Lil Nas X,2019-04-05,157066,11,0.878,0.0533,0.878,0.619,0.0,0.113,-5.56,0.102,136.041,4,2019-04-05,2019-04-12
Old Town Road,Old Town Road,Lil Nas X,2019-03-14,113013,8,0.908,0.0361,0.908,0.517,1.73e-06,0.0949,-6.063,0.129,136.019,4,2019-04-05,2019-04-12
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,194087,89,0.701,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,135.128,4,2019-04-05,2019-04-12
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2018-12-14,158040,86,0.76,0.556,0.76,0.479,0.0,0.0703,-5.574,0.0466,89.911,4,2019-04-05,2019-04-12
wish you were gay,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,221543,81,0.853,0.39,0.853,0.351,9.38e-06,0.752,-10.198,0.241,118.028,4,2019-04-05,2019-04-12
MIDDLE CHILD,MIDDLE CHILD,J. Cole,2019-01-23,213593,83,0.837,0.149,0.837,0.364,0.0,0.271,-11.713,0.276,123.984,4,2019-04-05,2019-04-12
